epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,4,,,,0.53125,,,
0,9,,,,0.46875,,,
0,14,,,,0.625,,,
0,19,,,,0.5,,,
0,24,,,,0.5,,,
0,29,,,,0.46875,,,
0,34,,,,0.28125,,,
0,39,,,,0.34375,,,
0,44,,,,0.4375,,,
0,49,,,,0.5,,,
0,54,,,,0.53125,,,
0,59,,,,0.59375,,,
0,64,,,,0.53125,,,
0,69,,,,0.53125,,,
0,74,,,,0.59375,,,
0,79,,,,0.59375,,,
0,84,,,,0.5,,,
0,89,,,,0.53125,,,
0,94,,,,0.53125,,,
0,99,,,,0.625,,,
0,104,,,,0.53125,,,
0,109,,,,0.71875,,,
0,114,,,,0.5625,,,
0,119,,,,0.46875,,,
0,124,,,,0.71875,,,
0,129,,,,0.5,,,
0,134,,,,0.4375,,,
0,139,,,,0.5625,,,
0,144,,,,0.53125,,,
0,149,,,,0.78125,,,
0,154,,,,0.46875,,,
0,159,,,,0.4375,,,
0,164,,,,0.46875,,,
0,169,,,,0.59375,,,
0,174,,,,0.65625,,,
0,179,,,,0.5625,,,
0,184,,,,0.65625,,,
0,189,,,,0.5,,,
0,194,,,,0.6875,,,
0,199,,,,0.71875,,,
0,204,,,,0.625,,,
0,209,,,,0.5625,,,
0,214,,,,0.59375,,,
0,219,,,,0.59375,,,
0,224,,,,0.6875,,,
0,229,,,,0.59375,,,
0,234,,,,0.75,,,
0,239,,,,0.625,,,
0,244,,,,0.53125,,,
0,249,,,,0.6875,,,
0,254,,,,0.53125,,,
0,259,,,,0.5625,,,
0,264,,,,0.625,,,
0,269,,,,0.46875,,,
0,274,,,,0.625,,,
0,279,,,,0.53125,,,
0,284,,,,0.65625,,,
0,289,,,,0.75,,,
0,294,,,,0.75,,,
0,299,,,,0.59375,,,
0,304,,,,0.78125,,,
0,309,,,,0.6875,,,
0,312,,,,,,0.6430000066757202,0.6698101162910461
0,312,,,0.5712000131607056,,0.6849323511123657,,
1,314,,,,0.46875,,,
1,319,,,,0.65625,,,
1,324,,,,0.5,,,
1,329,,,,0.6875,,,
1,334,,,,0.40625,,,
1,339,,,,0.625,,,
1,344,,,,0.59375,,,
1,349,,,,0.6875,,,
1,354,,,,0.5625,,,
1,359,,,,0.65625,,,
1,364,,,,0.71875,,,
1,369,,,,0.65625,,,
1,374,,,,0.65625,,,
1,379,,,,0.59375,,,
1,384,,,,0.59375,,,
1,389,,,,0.6875,,,
1,394,,,,0.75,,,
1,399,,,,0.59375,,,
1,404,,,,0.78125,,,
1,409,,,,0.71875,,,
1,414,,,,0.625,,,
1,419,,,,0.59375,,,
1,424,,,,0.59375,,,
1,429,,,,0.59375,,,
1,434,,,,0.5625,,,
1,439,,,,0.46875,,,
1,444,,,,0.6875,,,
1,449,,,,0.625,,,
1,454,,,,0.71875,,,
1,459,,,,0.625,,,
1,464,,,,0.65625,,,
1,469,,,,0.6875,,,
1,474,,,,0.71875,,,
1,479,,,,0.59375,,,
1,484,,,,0.625,,,
1,489,,,,0.53125,,,
1,494,,,,0.46875,,,
1,499,,,,0.625,,,
1,504,,,,0.625,,,
1,509,,,,0.8125,,,
1,514,,,,0.65625,,,
1,519,,,,0.75,,,
1,524,,,,0.71875,,,
1,529,,,,0.40625,,,
1,534,,,,0.5625,,,
1,539,,,,0.53125,,,
1,544,,,,0.75,,,
1,549,,,,0.75,,,
1,554,,,,0.53125,,,
1,559,,,,0.78125,,,
1,564,,,,0.65625,,,
1,569,,,,0.71875,,,
1,574,,,,0.65625,,,
1,579,,,,0.5625,,,
1,584,,,,0.6875,,,
1,589,,,,0.6875,,,
1,594,,,,0.625,,,
1,599,,,,0.59375,,,
1,604,,,,0.59375,,,
1,609,,,,0.71875,,,
1,614,,,,0.625,,,
1,619,,,,0.65625,,,
1,624,,,,0.5625,,,
1,625,,,,,,0.6740000247955322,0.6322789788246155
1,625,,,0.6302000284194946,,0.6544574499130249,,
2,629,,,,0.71875,,,
2,634,,,,0.75,,,
2,639,,,,0.65625,,,
2,644,,,,0.53125,,,
2,649,,,,0.59375,,,
2,654,,,,0.6875,,,
2,659,,,,0.75,,,
2,664,,,,0.65625,,,
2,669,,,,0.625,,,
2,674,,,,0.6875,,,
2,679,,,,0.625,,,
