epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,4,,0.3125,,,
0,9,,0.28125,,,
0,14,,0.28125,,,
0,19,,0.25,,,
0,24,,0.28125,,,
0,29,,0.375,,,
0,34,,0.34375,,,
0,39,,0.21875,,,
0,44,,0.4375,,,
0,49,,0.28125,,,
0,54,,0.34375,,,
0,59,,0.21875,,,
0,64,,0.5625,,,
0,69,,0.3125,,,
0,74,,0.3125,,,
0,79,,0.4375,,,
0,84,,0.34375,,,
0,89,,0.3125,,,
0,94,,0.1875,,,
0,99,,0.34375,,,
0,104,,0.25,,,
0,109,,0.3125,,,
0,114,,0.28125,,,
0,119,,0.21875,,,
0,124,,0.28125,,,
0,129,,0.375,,,
0,134,,0.3125,,,
0,139,,0.25,,,
0,144,,0.375,,,
0,149,,0.28125,,,
0,154,,0.40625,,,
0,159,,0.34375,,,
0,164,,0.4375,,,
0,169,,0.28125,,,
0,174,,0.46875,,,
0,179,,0.34375,,,
0,184,,0.25,,,
0,189,,0.15625,,,
0,194,,0.375,,,
0,199,,0.375,,,
0,204,,0.25,,,
0,209,,0.1875,,,
0,214,,0.21875,,,
0,219,,0.21875,,,
0,224,,0.40625,,,
0,229,,0.1875,,,
0,234,,0.25,,,
0,239,,0.28125,,,
0,244,,0.21875,,,
0,249,,0.25,,,
0,254,,0.34375,,,
0,259,,0.25,,,
0,264,,0.34375,,,
0,269,,0.375,,,
0,274,,0.34375,,,
0,279,,0.375,,,
0,284,,0.40625,,,
0,289,,0.375,,,
0,294,,0.375,,,
0,299,,0.3125,,,
0,304,,0.46875,,,
0,309,,0.25,,,
0,312,,,,0.3333333432674408,1.099096655845642
0,312,0.3272327184677124,,1.0998420715332031,,
1,314,,0.25,,,
1,319,,0.375,,,
1,324,,0.34375,,,
1,329,,0.21875,,,
1,334,,0.375,,,
1,339,,0.28125,,,
1,344,,0.3125,,,
1,349,,0.375,,,
1,354,,0.21875,,,
1,359,,0.34375,,,
1,364,,0.40625,,,
1,369,,0.3125,,,
1,374,,0.375,,,
1,379,,0.34375,,,
1,384,,0.21875,,,
1,389,,0.375,,,
1,394,,0.1875,,,
1,399,,0.4375,,,
1,404,,0.3125,,,
1,409,,0.40625,,,
1,414,,0.21875,,,
1,419,,0.40625,,,
1,424,,0.21875,,,
1,429,,0.3125,,,
1,434,,0.375,,,
1,439,,0.3125,,,
1,444,,0.28125,,,
1,449,,0.28125,,,
1,454,,0.28125,,,
1,459,,0.28125,,,
1,464,,0.3125,,,
1,469,,0.4375,,,
1,474,,0.4375,,,
1,479,,0.3125,,,
1,484,,0.3125,,,
1,489,,0.3125,,,
1,494,,0.375,,,
1,499,,0.21875,,,
1,504,,0.4375,,,
1,509,,0.3125,,,
1,514,,0.375,,,
1,519,,0.25,,,
